,Site,Contrast,ECV
1,USH,SqC1,11.572
2,PTA,SqC1,16.881
3,PMA,SqC1,-3.3173
4,PTM,SqC1,1.5218
5,MDP,SqC1,15.623
6,CCP,SqC1,17.628
7,CRU,SqC1,44.614
8,COQ,SqC1,39.736
9,FLO,SqC1,19.373
10,SSB,SqC1,28.335
11,RDJ,SqC1,13.034
12,ADC,SqC1,34.978
13,PML,SqC1,19.83
14,NAT,SqC1,24.793
15,FTL,SqC1,15.17
16,ECU2,SqC1,15.855
17,STR,SqC1,53.491
18,ST17,SqC1,48.295
19,BO17,SqC1,34.792
20,BO19,SqC1,36.081
21,COS,SqC1,9.315
22,COL,SqC1,-15.481
23,OAX,SqC1,35.893
24,YUC,SqC1,69.64
25,LPZ,SqC1,49.099
26,FTP,SqC1,43.307
27,CCH,SqC1,34.214
28,STB,SqC1,16.523
29,SFO,SqC1,28.685
30,SF17,SqC1,-5.3808
31,DEL,SqC1,6.9939
32,MAS,SqC1,-2.7908
33,COO,SqC1,28.319
34,DAR,SqC1,55.882
35,NEW,SqC1,14.006
36,NFL,SqC1,5.31
37,HAK,SqC1,3.368
38,SI17,SqC1,-4.8591
39,COR,SqC1,1.0246
1,USH,SqC2,-7.2247
2,PTA,SqC2,-3.8812
3,PMA,SqC2,-5.433
4,PTM,SqC2,0.91894
5,MDP,SqC2,14.56
6,CCP,SqC2,-7.1502
7,CRU,SqC2,39.969
8,COQ,SqC2,0
9,FLO,SqC2,17.445
10,SSB,SqC2,21.189
11,RDJ,SqC2,9.5079
12,ADC,SqC2,42.225
13,PML,SqC2,4.761
14,NAT,SqC2,9.1687
15,FTL,SqC2,11.292
16,ECU2,SqC2,-3.5051
17,STR,SqC2,49.427
18,ST17,SqC2,5.5597
19,BO17,SqC2,4.0043
20,BO19,SqC2,16.248
21,COS,SqC2,3.056
22,COL,SqC2,-7.3885
23,OAX,SqC2,26.819
24,YUC,SqC2,51.276
25,LPZ,SqC2,44.402
26,FTP,SqC2,29.982
27,CCH,SqC2,10.427
28,STB,SqC2,-8.9183
29,SFO,SqC2,17.885
30,SF17,SqC2,-4.7491
31,DEL,SqC2,-5.1857
32,MAS,SqC2,-4.1209
33,COO,SqC2,-0.832
34,DAR,SqC2,52.524
35,NEW,SqC2,-4.8825
36,NFL,SqC2,-7.6187
37,HAK,SqC2,-11.24
38,SI17,SqC2,8.1952
39,COR,SqC2,7.6555
