Site_long,Code,Site,Dep,wk10,wk12,End,Lat,Long,Atl/Pac,Min Depth (m),Max Depth (m),NS
Brazil: Arraial do Cabo,21,ADC,2/7/2019,4/18/2019,5/8/2019,5/7/2019,-22.970821,-42.018013,A,,,S
Bocas2017,17,BO17,6/30/2017,9/8/2017,9/22/2017,9/22/2017,9.35989,-82.27402,A,,,N
Bocas2019,41,BO19,8/15/2019,10/24/2019,11/6/2019,11/6/2019,9.35989,-82.27402,A,,,N
CorpusChristi,5,CCH,6/18/2018,8/27/2018,9/10/2018,9/13/2018,27.838847,-97.067301,A,1.5,1.5,N
Concepcion,22,CCP,2/19/2019,4/30/2019,5/14/2019,5/9/2019,-36.686292,-73.101714,P,,,S
Colombia,2,COL,6/13/2018,8/22/2018,9/5/2018,9/6/2018,11.2415,-74.21917,A,3.76,,N
CoosBay,3,COO,6/21/2018,8/30/2018,9/13/2018,9/24/2018,43.3456,-124.3226,P,,,N
Coquimbo,23,COQ,2/8/2019,4/19/2019,5/3/2019,4/17/2019,-29.966569,-71.351928,P,,,S
Cordova,4,COR,7/16/2018,9/24/2018,10/8/2018,10/8/2018,60.5472222,-145.765,P,2,7,N
CostaRica,6,COS,6/13/2018,8/22/2018,9/5/2018,9/5/2018,10.64011,-85.65404,P,,,N
Las Cruces,24,CRU,2/13/2019,4/24/2019,4/25/2019,5/10/2019,-33.501045,-71.625186,P,,,S
Dartmouth,7,DAR,7/7/2018,9/15/2018,9/29/2018,10/2/2018,44.135316,-63.01805,A,3,3.5,N
Delaware,8,DEL,6/21/2018,8/30/2018,9/13/2018,9/23/2018,38.6121,-75.0724,A,2.7,2.8,N
Ecuador (Salinas Yacht Club),42,ECU2,9/25/2019,12/4/2019,12/18/2019,12/18/2019,-2.200721,-80.973532,P,,,S
Brazil: Florianopolos,26,FLO,1/14/2019,4/24/2019,5/8/2019,4/9/2019,-25.8430556,-48.580555,A,,,S
Brazil: Fortaleza/Ceara,27,FTL,2/14/2019,4/17/2019,5/1/2019,4/25/2019,-3.716605,-38.527393,A,,,S
FortPierce,9,FTP,6/18/2018,8/27/2018,9/10/2018,9/11/2018,27.457205,-80.312188,A,2.5,3,N
Hakai,10,HAK,6/28/2018,9/6/2018,9/20/2018,9/23/2018,51.65444,-128.1292,P,,,N
La Paz,11,LPZ,6/15/2018,8/24/2018,9/7/2018,9/8/2018,24.1827,-110.30566,P,,,N
Mass,12,MAS,6/22/2018,8/31/2018,9/14/2018,9/13/2018,42.611,-70.6582,A,0.6,2.4,N
Argentina: Yacht Club Mar del Plata,30,MDP,2/1/2019,4/12/2019,4/26/2019,4/26/2019,-38.041331,-57.537278,A,,,S
Brazil: Natal,31,NAT,2/1/2019,4/12/2019,4/26/2019,4/25/2019,-5.756859,-35.201056,A,,,S
Newport,20,NEW,7/6/2018,9/14/2018,9/28/2018,10/1/2018,44.6256,-124.04475,P,4,,N
Newfoundland,13,NFL,7/5/2018,9/13/2018,9/27/2018,10/10/2018,47.7584,-53.9593,A,,5.46,N
Oaxaca,14,OAX,6/13/2018,8/22/2018,9/5/2018,9/5/2018,15.76388,-96.12173,P,,,N
Argentina: Puerto Madryn,34,PMA,1/24/2019,4/4/2019,4/18/2019,4/17/2019,-42.736583,-65.030028,A,,,S
"Pampa Melchorita, Peru",32,PML,1/25/2019,4/5/2019,4/19/2019,4/26/2019,-13.252104,-76.306201,P,,,S
Punta Arenas,33,PTA,1/25/2019,4/5/2019,4/19/2019,4/25/2019,-53.036767,-70.872978,P,,,S
Puerto Montt,35,PTM,1/23/2019,4/3/2019,4/17/2019,4/17/2019,-41.477158,-72.945958,P,,,S
"Brazil: Angra dos Reis, Rio dJ",36,RDJ,1/15/2019,3/26/2019,4/9/2019,4/9/2019,-22.980969,-44.325677,A,,,S
SF2017,102,SF17,5/23/2017,8/1/2017,8/15/2017,8/14/2017,37.80791,-122.43439,P,,,N
SanFrancisco,15,SFO,6/21/2018,8/30/2018,9/13/2018,9/10/2018,37.80791,-122.43439,P,2,3.5,N
Sitka2017,1,SI17,6/21/2017,8/30/2017,9/13/2017,9/19/2017,57.0538,-135.35,P,3.2,6.5,N
Brazil: Sao Sebastiao,39,SSB,1/14/2019,3/25/2019,4/8/2019,4/10/2019,-23.7732,-45.3559,A,,,S
STRI2017,101,ST17,7/3/2017,9/11/2017,9/25/2017,10/3/2017,8.9154,-79.5294,P,,,N
Santa Barbara,16,STB,6/20/2018,8/29/2018,9/12/2018,9/18/2018,34.4049,-119.69072,P,4.75,6.5,N
STRI,18,STR,6/1/2018,8/10/2018,8/24/2018,8/24/2018,8.9154,-79.5294,P,,,N
Ushuaia,40,USH,1/14/2019,3/25/2019,4/8/2019,4/8/2019,-54.810465,-68.310778,A,,,S
Yucatan,19,YUC,6/15/2018,8/24/2018,9/7/2018,9/6/2018,21.28053,-89.70069,A,,,N
