Treatment,STR,COL,COS,YUC,CCH,FTP,DEL,STB,MAS,SFO,COO,HAK,NFL,DAR,COR,SSB,COQ,PTA,FLO,USH,RDJ,PTM,PMA,NAT,CCP,MDP,CRU,FTL,PML,ADC,BO19,ECU2,LPZ
3.part.cage,3,2,3,3,3,1,1,1,1,1,1,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3
4.cage.expo,1,3,3,3,3,3,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,,3,1,1,1
1.open.ctrl,,3,3,3,3,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
2.full.cage,1,3,3,3,3,3,,1,1,1,1,1,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2
3.part.cage,3,1,3,2,3,3,,1,1,1,1,1,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,1
4.cage.expo,,1,3,2,2,1,,1,1,1,1,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,,1,3,1,1,1
1.open.ctrl,,1,3,3,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,1
2.full.cage,,1,3,2,3,1,2,1,3,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,3,3,1,1
2.full.cage,,3,3,2,3,1,2,1,1,1,1,1,,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1
3.part.cage,3,1,3,1,3,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,1,1,1
4.cage.expo,3,1,3,1,3,3,1,1,1,1,1,1,,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,3,1,1,2
1.open.ctrl,3,1,3,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,,,3,3,1,1
4.cage.expo,3,1,3,3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,3,3,1,2
1.open.ctrl,3,1,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,3,1,1,1
2.full.cage,3,1,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,,3,1,1,1,1,,1,1,1,1,,3,1,1,1
3.part.cage,3,1,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,1,1,1,,1,1,1,1,2,3,3,1,2
1.open.ctrl,3,1,3,3,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1
2.full.cage,3,1,3,3,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,2
3.part.cage,1,1,3,1,3,1,1,3,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
4.cage.expo,1,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
1.open.ctrl,1,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2.full.cage,,1,3,3,1,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,,1,1,1,1,1,1,1,1,3
3.part.cage,3,1,3,3,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,3,1,2
4.cage.expo,3,1,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,3,1,1,2
3.part.cage,3,1,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
1.open.ctrl,3,1,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,1,1,2
4.cage.expo,3,1,3,1,3,1,3,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,3
2.full.cage,1,2,3,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,3,1,1,3
2.full.cage,1,3,3,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,1,1,2
4.cage.expo,3,3,3,2,1,1,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,1,3,1,1,2
1.open.ctrl,3,1,3,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2
3.part.cage,3,3,3,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,1,1,1
